,Player,stat,lower_iqr,median,mean,higher_iqr
0,Yanni Gourde\gourdya01,hits_gp,0.3265640825840338,0.5342793743836987,0.65686293647234,0.8834232571423409
1,Yanni Gourde\gourdya01,even_g_gp,0.194633207545775,0.20588177830484386,0.20646253710554738,0.21789996757431204
2,Yanni Gourde\gourdya01,blocks_gp,0.2938126830790395,0.4808775729949452,0.5610923280720744,0.7523846312868095
3,Yanni Gourde\gourdya01,pp_a_gp,0.0,0.0,0.0,0.0
4,Yanni Gourde\gourdya01,pp_g_gp,0.0,0.0,0.0,0.0
5,Yanni Gourde\gourdya01,even_a_gp,0.20181764758847565,0.3190374289187569,0.37268649598661846,0.4974613410124595
6,Yanni Gourde\gourdya01,fow_perc,0.39072068418918104,0.42631508539283264,0.4285662596008192,0.4643427772801095
7,Yanni Gourde\gourdya01,sh_perc,0.17972319562520495,0.18347467225882072,0.18357274903056492,0.1873483752549817
8,Yanni Gourde\gourdya01,pim_gp,0.21360036764309415,0.41111732680676677,0.5693170343642465,0.7836236710199019
9,Mike Moore\mooremi01,hits_gp,0.0,0.0,0.0,0.0
10,Mike Moore\mooremi01,even_g_gp,0.0,0.0,0.0,0.0
11,Mike Moore\mooremi01,blocks_gp,0.0,0.0,0.0,0.0
12,Mike Moore\mooremi01,pp_a_gp,0.0,0.0,0.0,0.0
13,Mike Moore\mooremi01,pp_g_gp,0.0,0.0,0.0,0.0
14,Mike Moore\mooremi01,even_a_gp,0.0,0.0,0.0,0.0
15,Mike Moore\mooremi01,fow_perc,0.0,0.0,0.0,0.0
16,Mike Moore\mooremi01,sh_perc,0.0,0.0,0.0,0.0
17,Mike Moore\mooremi01,pim_gp,0.0,0.0,0.0,0.0
18,Scott Walker\walkesc01,hits_gp,1.3647541891243822,1.824781339300144,1.9462720720605553,2.426422418062858
19,Scott Walker\walkesc01,even_g_gp,0.08572455378792194,0.09446155103583719,0.09511055082261945,0.10394820954405155
20,Scott Walker\walkesc01,blocks_gp,0.10476932089249756,0.16982549667881047,0.20083131187323475,0.2684013986163527
21,Scott Walker\walkesc01,pp_a_gp,0.06287199064007283,0.07248476096988359,0.07364282030896066,0.08341736479347021
22,Scott Walker\walkesc01,pp_g_gp,0.021778088666965463,0.023854929600405795,0.023951771271333987,0.026004235298825222
23,Scott Walker\walkesc01,even_a_gp,0.05497398191540184,0.06806475038806646,0.07036007627990461,0.08382156210463632
24,Scott Walker\walkesc01,fow_perc,0.4560290338323795,0.49350982064753796,0.49687080038429554,0.5359032780969082
25,Scott Walker\walkesc01,sh_perc,0.0728152122999427,0.07819815905965256,0.07856775674255016,0.0840710142048784
26,Scott Walker\walkesc01,pim_gp,-0.038807491055084596,0.2075481093610306,1.3904603162778786,0.85228480051662
27,Jean-Gabriel Pageau\pageaje01,hits_gp,-0.42051051697266656,0.0015347669783570602,1.8179428498690484,0.871920549616501
28,Jean-Gabriel Pageau\pageaje01,even_g_gp,0.1346527358963182,0.15096089882187663,0.15293799571704814,0.1697776723003644
29,Jean-Gabriel Pageau\pageaje01,blocks_gp,0.3200300424421123,0.6571316098992519,0.9684364590109168,1.368040858288217
30,Jean-Gabriel Pageau\pageaje01,pp_a_gp,0.012809769151821979,0.012819824349350242,0.012819833562170346,0.012829897346237283
31,Jean-Gabriel Pageau\pageaje01,pp_g_gp,0.01281018327680961,0.012820858891260044,0.012820769344020218,0.01283133262178932
32,Jean-Gabriel Pageau\pageaje01,even_a_gp,0.16564586049419935,0.17859887015670442,0.17963140395225388,0.1929033364294029
33,Jean-Gabriel Pageau\pageaje01,fow_perc,0.4795254132069681,0.5086463480871991,0.5103163959018823,0.5396089959777717
34,Jean-Gabriel Pageau\pageaje01,sh_perc,0.08773946235525207,0.09522620091651864,0.09588952653020132,0.10362562828702215
35,Jean-Gabriel Pageau\pageaje01,pim_gp,0.3350358269822689,0.43469148319763545,0.45725717316325687,0.5600907906325585
36,Steve McKenna\mckenst01,hits_gp,0.0,0.0,0.0,0.0
37,Steve McKenna\mckenst01,even_g_gp,0.0,0.0,0.0,0.0
38,Steve McKenna\mckenst01,blocks_gp,0.0,0.0,0.0,0.0
39,Steve McKenna\mckenst01,pp_a_gp,0.0,0.0,0.0,0.0
40,Steve McKenna\mckenst01,pp_g_gp,0.0,0.0,0.0,0.0
41,Steve McKenna\mckenst01,even_a_gp,0.0,0.0,0.0,0.0
42,Steve McKenna\mckenst01,fow_perc,0.0,0.0,0.0,0.0
43,Steve McKenna\mckenst01,sh_perc,0.0,0.0,0.0,0.0
44,Steve McKenna\mckenst01,pim_gp,0.0,0.0,0.0,0.0
45,Daniel Carcillo\carcida01,hits_gp,-0.10981322216692131,0.19377982006674904,0.6273924029559816,0.9005636157109133
46,Daniel Carcillo\carcida01,even_g_gp,0.09069397661398021,0.10179485688817967,0.10286523603855777,0.11424694846604355
47,Daniel Carcillo\carcida01,blocks_gp,0.14921915877224687,0.17621714003009162,0.180127020956784,0.20812861195409504
48,Daniel Carcillo\carcida01,pp_a_gp,0.011985912451434252,0.01317018881809133,0.013266866077525863,0.014477815916674172
49,Daniel Carcillo\carcida01,pp_g_gp,0.010583847469394295,0.01263418552774242,0.012936504146995329,0.015005083448831657
50,Daniel Carcillo\carcida01,even_a_gp,0.08031315342497598,0.09961592778687804,0.10371112825245218,0.12431238904065067
51,Daniel Carcillo\carcida01,fow_perc,0.40761889901159926,0.7266816146761234,0.9608108634185596,1.3331520630202933
52,Daniel Carcillo\carcida01,sh_perc,0.08801307104559662,0.09521989613008171,0.095693941255438,0.10300929398358084
